i,T,Qmin
1,21191.050000,423821.0
2,21191.050000,423821.0
3,21191.050000,423821.0
4,21191.050000,423821.0
5,21191.050000,423821.0
6,21191.050000,423821.0
7,21191.050000,423821.0
8,21191.050000,423821.0
9,21191.050000,423821.0
10,21191.050000,423821.0
11,21191.050000,37821.0
12,21191.050000,37821.0
13,21191.050000,37821.0
14,21191.050000,37821.0
15,21191.050000,37821.0
16,21191.050000,37821.0
17,21191.050000,37821.0
18,21191.050000,37821.0
19,21191.050000,37821.0
20,21191.050000,37821.0
21,21191.050000,37821.0
22,21191.050000,37821.0
23,21191.050000,37821.0
24,21191.050000,37821.0
25,21191.050000,37821.0
26,21191.050000,37821.0
27,21191.050000,37821.0
28,21191.050000,37821.0
29,21191.050000,37821.0
30,21191.050000,37821.0
31,21191.050000,37821.0
32,21191.050000,37821.0
33,21191.050000,37821.0
34,21191.050000,37821.0
35,21191.050000,26488.0
36,21191.050000,26488.0
37,21191.050000,26488.0
38,21191.050000,26488.0
39,21191.050000,26488.0
40,21191.050000,26488.0
41,21191.050000,26488.0
42,21191.050000,26488.0
43,21191.050000,26488.0
44,21191.050000,26488.0
45,21191.050000,26488.0
46,21191.050000,26488.0
47,21191.050000,26488.0
48,21191.050000,26488.0
49,21191.050000,26488.0
50,21191.050000,26488.0
51,21191.050000,26488.0
52,21191.050000,26488.0
53,21191.050000,26488.0
54,21191.050000,26488.0
55,21191.050000,26488.0
56,21191.050000,26488.0
57,21191.050000,26488.0
58,21191.050000,26488.0
59,21191.050000,26488.0
60,21191.050000,26488.0
61,21191.050000,26488.0
62,21191.050000,26488.0
63,21191.050000,26488.0
64,21191.050000,26488.0
65,21191.050000,26488.0
66,21191.050000,26488.0
67,21191.050000,26488.0
68,21191.050000,26488.0
69,21191.050000,26488.0
70,21191.050000,26488.0
71,21191.050000,26488.0
72,21191.050000,26488.0
73,21191.050000,26488.0
74,21191.050000,26488.0
75,21191.050000,26488.0
76,21191.050000,26488.0
77,21191.050000,26488.0
78,21191.050000,26488.0
79,21191.050000,26488.0
80,21191.050000,26488.0
81,21191.050000,26488.0
82,21191.050000,26488.0
83,21191.050000,26488.0
84,21191.050000,26488.0
85,21191.050000,26488.0
86,21191.050000,26488.0
87,21191.050000,26488.0
88,21191.050000,26488.0
89,21191.050000,26488.0
90,21191.050000,26488.0
91,21191.050000,26488.0
92,21191.050000,26488.0
93,21191.050000,26488.0
94,21191.050000,26488.0
