i,T,Qmin
1,1.550000,31.0
2,1.550000,31.0
3,1.550000,31.0
4,1.550000,31.0
5,1.550000,31.0
6,1.550000,31.0
7,1.550000,31.0
8,1.550000,31.0
9,1.550000,25.0
10,1.550000,25.0
11,1.550000,25.0
12,1.550000,25.0
13,1.550000,25.0
14,1.550000,25.0
15,1.550000,25.0
16,1.550000,25.0
17,1.550000,25.0
18,1.550000,25.0
19,1.550000,25.0
20,1.550000,25.0
21,1.550000,25.0
22,1.550000,25.0
23,1.550000,25.0
24,1.550000,25.0
25,1.550000,25.0
26,1.550000,25.0
27,1.550000,25.0
28,1.550000,25.0
29,1.550000,25.0
30,1.550000,25.0
31,1.550000,25.0
32,1.550000,25.0
33,1.550000,25.0
34,1.550000,25.0
35,1.550000,25.0
36,1.550000,25.0
37,1.550000,25.0
38,1.550000,25.0
39,1.550000,25.0
40,1.550000,25.0
41,1.550000,25.0
42,1.550000,25.0
43,1.550000,25.0
44,1.550000,25.0
45,1.550000,25.0
46,1.550000,25.0
47,1.550000,25.0
48,1.550000,25.0
49,1.550000,25.0
50,1.550000,25.0
51,1.550000,25.0
52,1.550000,25.0
53,1.550000,25.0
54,1.550000,25.0
55,1.550000,25.0
56,1.550000,25.0
57,1.550000,25.0
58,1.550000,25.0
59,1.550000,25.0
60,1.550000,25.0
61,1.550000,25.0
62,1.550000,25.0
63,1.550000,25.0
64,1.550000,25.0
65,1.550000,25.0
66,1.550000,24.0
67,1.550000,24.0
68,1.550000,24.0
69,1.550000,24.0
70,1.550000,24.0
71,1.550000,24.0
72,1.550000,24.0
73,1.550000,24.0
74,1.550000,24.0
75,1.550000,24.0
76,1.550000,24.0
77,1.550000,24.0
78,1.550000,23.0
79,1.550000,23.0
80,1.550000,23.0
81,1.550000,23.0
82,1.550000,23.0
83,1.550000,23.0
84,1.550000,23.0
85,1.550000,23.0
86,1.550000,23.0
87,1.550000,23.0
88,1.550000,23.0
89,1.550000,23.0
90,1.550000,23.0
91,1.550000,23.0
92,1.550000,23.0
93,1.550000,23.0
94,1.550000,23.0
95,1.550000,23.0
96,1.550000,20.0
97,1.550000,20.0
98,1.550000,20.0
99,1.550000,20.0
100,1.550000,20.0
101,1.550000,20.0
102,1.550000,20.0
103,1.550000,20.0
104,1.550000,20.0
105,1.550000,20.0
106,1.550000,20.0
107,1.550000,20.0
108,1.550000,20.0
109,1.550000,20.0
110,1.550000,20.0
111,1.550000,20.0
112,1.550000,20.0
113,1.550000,20.0
114,1.550000,20.0
115,1.550000,20.0
116,1.550000,20.0
117,1.550000,20.0
118,1.550000,20.0
119,1.550000,20.0
120,1.550000,20.0
121,1.550000,20.0
122,1.550000,20.0
123,1.550000,20.0
124,1.550000,20.0
125,1.550000,20.0
126,1.550000,20.0
127,1.550000,20.0
128,1.550000,20.0
129,1.550000,20.0
130,1.550000,20.0
131,1.550000,20.0
132,1.550000,20.0
133,1.550000,20.0
134,1.550000,20.0
135,1.550000,20.0
136,1.550000,20.0
137,1.550000,20.0
138,1.550000,20.0
139,1.550000,20.0
140,1.550000,20.0
141,1.550000,20.0
142,1.550000,20.0
143,1.550000,20.0
144,1.550000,20.0
145,1.550000,20.0
146,1.550000,20.0
147,1.550000,20.0
148,1.550000,20.0
149,1.550000,20.0
150,1.550000,20.0
151,1.550000,20.0
152,1.550000,20.0
153,1.550000,20.0
154,1.550000,20.0
155,1.550000,20.0
156,1.550000,20.0
157,1.550000,20.0
158,1.550000,20.0
159,1.550000,20.0
160,1.550000,20.0
161,1.550000,20.0
162,1.550000,20.0
163,1.550000,20.0
164,1.550000,20.0
165,1.550000,20.0
166,1.550000,20.0
167,1.550000,20.0
168,1.550000,20.0
169,1.550000,20.0
170,1.550000,20.0
171,1.550000,20.0
172,1.550000,20.0
173,1.550000,20.0
174,1.550000,20.0
175,1.550000,20.0
176,1.550000,20.0
177,1.550000,20.0
178,1.550000,20.0
179,1.550000,20.0
180,1.550000,20.0
181,1.550000,20.0
182,1.550000,20.0
183,1.550000,20.0
184,1.550000,20.0
185,1.550000,20.0
186,1.550000,20.0
187,1.550000,20.0
188,1.550000,20.0
189,1.550000,20.0
190,1.550000,20.0
191,1.550000,20.0
192,1.550000,20.0
193,1.550000,20.0
194,1.550000,20.0
195,1.550000,20.0
196,1.550000,20.0
197,1.550000,20.0
198,1.550000,20.0
199,1.550000,20.0
200,1.550000,20.0
201,1.550000,20.0
202,1.550000,20.0
203,1.550000,20.0
204,1.550000,20.0
205,1.550000,20.0
206,1.550000,20.0
207,1.550000,20.0
208,1.550000,20.0
209,1.550000,20.0
210,1.550000,20.0
211,1.550000,20.0
212,1.550000,20.0
