i,T,Qmin
1,1.250000,25.0
2,1.250000,25.0
3,1.250000,25.0
4,1.250000,25.0
5,1.250000,25.0
6,1.250000,25.0
7,1.250000,25.0
8,1.250000,25.0
9,1.250000,25.0
10,1.250000,25.0
11,1.250000,25.0
12,1.250000,25.0
13,1.250000,25.0
14,1.250000,25.0
15,1.250000,24.0
16,1.250000,24.0
17,1.250000,24.0
18,1.250000,24.0
19,1.250000,24.0
20,1.250000,24.0
21,1.250000,24.0
22,1.250000,24.0
23,1.250000,24.0
24,1.250000,24.0
25,1.250000,24.0
26,1.250000,24.0
27,1.250000,24.0
28,1.250000,24.0
29,1.250000,24.0
30,1.250000,24.0
31,1.250000,22.0
32,1.250000,22.0
33,1.250000,22.0
34,1.250000,22.0
35,1.250000,22.0
36,1.250000,22.0
37,1.250000,22.0
38,1.250000,22.0
39,1.250000,22.0
40,1.250000,22.0
41,1.250000,22.0
42,1.250000,22.0
43,1.250000,22.0
44,1.250000,22.0
45,1.250000,22.0
46,1.250000,22.0
47,1.250000,22.0
48,1.250000,22.0
49,1.250000,22.0
50,1.250000,22.0
51,1.250000,21.0
52,1.250000,21.0
53,1.250000,21.0
54,1.250000,21.0
55,1.250000,21.0
56,1.250000,21.0
57,1.250000,21.0
58,1.250000,21.0
59,1.250000,21.0
60,1.250000,21.0
61,1.250000,21.0
62,1.250000,21.0
63,1.250000,21.0
64,1.250000,21.0
65,1.250000,21.0
66,1.250000,21.0
67,1.250000,21.0
68,1.250000,21.0
69,1.250000,21.0
70,1.250000,21.0
71,1.250000,21.0
72,1.250000,21.0
73,1.250000,21.0
74,1.250000,21.0
75,1.250000,21.0
76,1.250000,21.0
77,1.250000,21.0
78,1.250000,21.0
79,1.250000,21.0
80,1.250000,21.0
81,1.250000,21.0
82,1.250000,21.0
83,1.250000,21.0
84,1.250000,21.0
85,1.250000,21.0
86,1.250000,21.0
87,1.250000,21.0
88,1.250000,21.0
89,1.250000,21.0
90,1.250000,21.0
91,1.250000,21.0
92,1.250000,21.0
93,1.250000,21.0
94,1.250000,21.0
95,1.250000,21.0
96,1.250000,21.0
97,1.250000,21.0
98,1.250000,21.0
99,1.250000,21.0
100,1.250000,21.0
101,1.250000,21.0
102,1.250000,21.0
103,1.250000,21.0
104,1.250000,21.0
105,1.250000,21.0
106,1.250000,21.0
107,1.250000,21.0
108,1.250000,21.0
109,1.250000,21.0
110,1.250000,21.0
111,1.250000,21.0
112,1.250000,21.0
113,1.250000,21.0
114,1.250000,21.0
115,1.250000,21.0
116,1.250000,21.0
117,1.250000,21.0
118,1.250000,21.0
119,1.250000,21.0
120,1.250000,21.0
121,1.250000,21.0
122,1.250000,20.0
123,1.250000,20.0
124,1.250000,20.0
125,1.250000,20.0
126,1.250000,20.0
127,1.250000,20.0
128,1.250000,20.0
129,1.250000,20.0
130,1.250000,20.0
131,1.250000,20.0
132,1.250000,20.0
133,1.250000,20.0
134,1.250000,20.0
135,1.250000,20.0
136,1.250000,20.0
137,1.250000,20.0
138,1.250000,20.0
139,1.250000,20.0
140,1.250000,20.0
141,1.250000,20.0
142,1.250000,20.0
143,1.250000,20.0
144,1.250000,20.0
145,1.250000,20.0
146,1.250000,20.0
147,1.250000,20.0
148,1.250000,20.0
149,1.250000,20.0
150,1.250000,20.0
151,1.250000,20.0
152,1.250000,20.0
153,1.250000,20.0
154,1.250000,20.0
155,1.250000,20.0
156,1.250000,20.0
157,1.250000,20.0
158,1.250000,20.0
159,1.250000,20.0
160,1.250000,20.0
161,1.250000,20.0
162,1.250000,20.0
163,1.250000,20.0
164,1.250000,20.0
165,1.250000,20.0
166,1.250000,20.0
167,1.250000,19.0
168,1.250000,19.0
169,1.250000,19.0
170,1.250000,19.0
171,1.250000,19.0
172,1.250000,19.0
173,1.250000,19.0
174,1.250000,19.0
175,1.250000,19.0
176,1.250000,19.0
177,1.250000,19.0
178,1.250000,19.0
179,1.250000,19.0
180,1.250000,19.0
181,1.250000,19.0
182,1.250000,19.0
183,1.250000,19.0
184,1.250000,19.0
185,1.250000,19.0
186,1.250000,19.0
187,1.250000,19.0
188,1.250000,19.0
189,1.250000,19.0
190,1.250000,19.0
191,1.250000,19.0
192,1.250000,19.0
193,1.250000,19.0
194,1.250000,19.0
195,1.250000,19.0
196,1.250000,19.0
197,1.250000,19.0
198,1.250000,19.0
199,1.250000,19.0
200,1.250000,19.0
201,1.250000,19.0
202,1.250000,19.0
203,1.250000,19.0
204,1.250000,19.0
205,1.250000,19.0
206,1.250000,19.0
207,1.250000,19.0
208,1.250000,19.0
209,1.250000,19.0
210,1.250000,19.0
211,1.250000,19.0
212,1.250000,19.0
213,1.250000,19.0
214,1.250000,19.0
215,1.250000,19.0
216,1.250000,19.0
217,1.250000,19.0
218,1.250000,19.0
219,1.250000,19.0
220,1.250000,19.0
221,1.250000,19.0
222,1.250000,19.0
223,1.250000,19.0
224,1.250000,19.0
225,1.250000,19.0
226,1.250000,19.0
227,1.250000,19.0
228,1.250000,19.0
229,1.250000,19.0
230,1.250000,19.0
231,1.250000,19.0
232,1.250000,19.0
233,1.250000,19.0
234,1.250000,19.0
235,1.250000,19.0
236,1.250000,19.0
237,1.250000,19.0
238,1.250000,19.0
239,1.250000,19.0
240,1.250000,19.0
241,1.250000,19.0
242,1.250000,19.0
243,1.250000,19.0
244,1.250000,19.0
245,1.250000,19.0
246,1.250000,19.0
247,1.250000,19.0
248,1.250000,19.0
249,1.250000,19.0
250,1.250000,19.0
251,1.250000,19.0
252,1.250000,19.0
253,1.250000,19.0
254,1.250000,19.0
255,1.250000,19.0
256,1.250000,19.0
257,1.250000,18.0
258,1.250000,18.0
259,1.250000,18.0
260,1.250000,18.0
261,1.250000,18.0
262,1.250000,18.0
263,1.250000,18.0
264,1.250000,18.0
265,1.250000,18.0
266,1.250000,18.0
267,1.250000,18.0
268,1.250000,18.0
269,1.250000,18.0
270,1.250000,18.0
271,1.250000,18.0
272,1.250000,18.0
273,1.250000,18.0
274,1.250000,18.0
275,1.250000,18.0
276,1.250000,18.0
277,1.250000,18.0
278,1.250000,18.0
279,1.250000,18.0
280,1.250000,18.0
281,1.250000,18.0
282,1.250000,18.0
283,1.250000,18.0
284,1.250000,18.0
285,1.250000,18.0
286,1.250000,18.0
287,1.250000,18.0
288,1.250000,18.0
289,1.250000,18.0
290,1.250000,18.0
291,1.250000,18.0
292,1.250000,18.0
293,1.250000,18.0
294,1.250000,18.0
295,1.250000,18.0
296,1.250000,18.0
297,1.250000,18.0
298,1.250000,18.0
299,1.250000,18.0
300,1.250000,18.0
301,1.250000,18.0
302,1.250000,18.0
303,1.250000,18.0
304,1.250000,18.0
305,1.250000,18.0
306,1.250000,18.0
307,1.250000,18.0
308,1.250000,18.0
309,1.250000,18.0
310,1.250000,18.0
311,1.250000,18.0
312,1.250000,18.0
313,1.250000,18.0
314,1.250000,18.0
315,1.250000,18.0
316,1.250000,18.0
317,1.250000,18.0
318,1.250000,18.0
319,1.250000,18.0
320,1.250000,18.0
321,1.250000,18.0
